Municípios;Código municipal;UF;% do total geral
Barra do Choça;2902906;BA;78,84
Barra do Corda;2101608;MA;57,64
Barra do Garças;5101803;MT;93,6
Barra do Guarita;4301859;RS;86,6
Barra do Jacaré;4102703;PR;72,34
Barra do Mendes;2903003;BA;64,81
Barra do Ouro;1703073;TO;69,41
Barra do Piraí;3300308;RJ;80,64
Barra do Quaraí;4301875;RS;72,85
Barra do Ribeiro;4301909;RS;76,69
Barra do Rio Azul;4301925;RS;65,81
Barra do Rocha;2903102;BA;63,24
Barra do Turvo;3505401;SP;46,1
Barra dos Coqueiros;2800605;SE;92,16
Barra Funda;4301958;RS;92,86
Barra Longa;3105707;MG;55,97
Barra Mansa;3300407;RJ;93,5
Barra Velha;4202107;SC;88,95
Barracão;4102604;PR;87,45
Barracão;4301800;RS;69,96
Barras;2201200;PI;62,77
Barreira;2301950;CE;59,44
Barreiras;2903201;BA;93,97
Barreiras do Piauí;2201309;PI;68,15
Barreirinha;1300508;AM;60,93
Barreirinhas;2101707;MA;26,15
Barreiros;2601409;PE;79,09
Barretos;3505500;SP;97,12
Barrinha;3505609;SP;98,49
Barro;2302008;CE;66,82
Barro Alto;2903235;BA;64,32
Barro Alto;5203203;GO;84,79
Barro Duro;2201408;PI;85,03
Barro Preto;2903300;BA;85,15
Barrocas;2903276;BA;85,12
Barrolândia;1703107;TO;80,6
Barroquinha;2302057;CE;70,18
Barros Cassal;4302006;RS;42,9
Barroso;3105905;MG;97,49
Barueri;3505708;SP;99,64
Bastos;3505807;SP;85,02
Bataguassu;5001904;MS;90,33
Batalha;2201507;PI;64,92
Batalha;2700706;AL;70,49
Batatais;3505906;SP;97,2
Batayporã;5002001;MS;80,02
Baturité;2302107;CE;72,34
Bauru;3506003;SP;95,97
Bayeux;2501807;PB;96,97
Bebedouro;3506102;SP;96,55
Beberibe;2302206;CE;27,79
Bela Cruz;2302305;CE;63,77
Bela Vista;5002100;MS;88,31
Bela Vista da Caroba;4102752;PR;62,29
Bela Vista de Goiás;5203302;GO;64,7
Bela Vista de Minas;3106002;MG;90,07
Bela Vista do Maranhão;2101772;MA;90,92
Bela Vista do Paraíso;4102802;PR;96,6
Bela Vista do Piauí;2201556;PI;96,51
Bela Vista do Toldo;4202131;SC;20,86
Belágua;2101731;MA;55,7
Belém;1501402;PA;67,13
Belém;2501906;PB;84,4
Belém;2700805;AL;26,91
Belém de Maria;2601508;PE;64,81
Belém do Brejo do Cruz;2502003;PB;55,62
Belém do Piauí;2201572;PI;60,57
Belém do São Francisco;2601607;PE;72,75
Belford Roxo;3300456;RJ;74,24
Belmiro Braga;3106101;MG;60,72
Belmonte;2903409;BA;66,01
Belmonte;4202156;SC;63,69
Belo Campo;2903508;BA;38,01
Belo Horizonte;3106200;MG;99,33
Belo Jardim;2601706;PE;88,46
Belo Monte;2700904;AL;46,69
Belo Oriente;3106309;MG;72,28
Belo Vale;3106408;MG;51,51
Belterra;1501451;PA;69,79
Beneditinos;2201606;PI;80,54
Benedito Leite;2101806;MA;84,28
Benedito Novo;4202206;SC;37,95
Benevides;1501501;PA;70,65
Benjamin Constant;1300607;AM;62,44
Benjamin Constant do Sul;4302055;RS;73,79
Bento de Abreu;3506201;SP;93
Bento Fernandes;2401602;RN;86,03
Bento Gonçalves;4302105;RS;96,28
Bequimão;2101905;MA;41,15
Berilo;3106507;MG;53,46
Berizal;3106655;MG;83,41
Bernardino Batista;2502052;PB;79,54
Bernardino de Campos;3506300;SP;91,92
Bernardo do Mearim;2101939;MA;53,85
Bernardo Sayão;1703206;TO;65,39
Bertioga;3506359;SP;93,11
Bertolínia;2201705;PI;89,79
Bertópolis;3106606;MG;74,32
Beruri;1300631;AM;53,56
Betânia;2601805;PE;45,18
Betânia do Piauí;2201739;PI;0
Betim;3106705;MG;98,37
Bezerros;2601904;PE;77,28
Bias Fortes;3106804;MG;53,49
Bicas;3106903;MG;93,85
Biguaçu;4202305;SC;85,99
Bilac;3506409;SP;93,1
Biquinhas;3107000;MG;73,22
Birigui;3506508;SP;96,5
Biritiba Mirim;3506607;SP;67,31
Biritinga;2903607;BA;77,55
Bituruna;4102901;PR;63,17
Blumenau;4202404;SC;93,97
Boa Esperança;3107109;MG;87,61
Boa Esperança;3201001;ES;74,74
Boa Esperança;4103008;PR;77,82
Boa Esperança do Iguaçu;4103024;PR;47,11
Boa Esperança do Sul;3506706;SP;94,52
Boa Hora;2201770;PI;88,95
Boa Nova;2903706;BA;69,4
Boa Ventura;2502102;PB;68,15
Boa Ventura de São Roque;4103040;PR;44,35
Boa Viagem;2302404;CE;71,38
Boa Vista;1400100;RR;93,72
Boa Vista;2502151;PB;62,98
Boa Vista da Aparecida;4103057;PR;74,84
Boa Vista das Missões;4302154;RS;91,75
Boa Vista do Buricá;4302204;RS;82,78
Boa Vista do Cadeado;4302220;RS;42,34
Boa Vista do Gurupi;2101970;MA;38,82
Boa Vista do Incra;4302238;RS;47,56
Boa Vista do Ramos;1300680;AM;56,6
Boa Vista do Sul;4302253;RS;83,94
Boa Vista do Tupim;2903805;BA;68,51
