Municípios;Código municipal;UF;% do total geral
Barro Duro;2201408;PI;76,11
Barro Preto;2903300;BA;80,29
Barrocas;2903276;BA;93,66
Barrolândia;1703107;TO;85,23
Barroquinha;2302057;CE;71,02
Barros Cassal;4302006;RS;70,85
Barroso;3105905;MG;98,81
Barueri;3505708;SP;99,97
Bastos;3505807;SP;92,72
Bataguassu;5001904;MS;90,45
Batalha;2201507;PI;45,33
Batalha;2700706;AL;88,05
Batatais;3505906;SP;98,26
Batayporã;5002001;MS;82,37
Baturité;2302107;CE;84,08
Bauru;3506003;SP;99,41
Bayeux;2501807;PB;96,82
Bebedouro;3506102;SP;98,36
Beberibe;2302206;CE;75,31
Bela Cruz;2302305;CE;53,25
Bela Vista;5002100;MS;80,57
Bela Vista da Caroba;4102752;PR;56,26
Bela Vista de Goiás;5203302;GO;91,17
Bela Vista de Minas;3106002;MG;96,58
Bela Vista do Maranhão;2101772;MA;63,49
Bela Vista do Paraíso;4102802;PR;97,4
Bela Vista do Piauí;2201556;PI;62,45
Bela Vista do Toldo;4202131;SC;62,85
Belágua;2101731;MA;29,18
Belém;1501402;PA;97,28
Belém;2501906;PB;88,04
Belém;2700805;AL;71,06
Belém de Maria;2601508;PE;76,92
Belém do Brejo do Cruz;2502003;PB;82,44
Belém do Piauí;2201572;PI;66,05
Belém do São Francisco;2601607;PE;60,15
Belford Roxo;3300456;RJ;87,79
Belmiro Braga;3106101;MG;90,95
Belmonte;2903409;BA;81,61
Belmonte;4202156;SC;69,36
Belo Campo;2903508;BA;56,59
Belo Horizonte;3106200;MG;99,48
Belo Jardim;2601706;PE;90,13
Belo Monte;2700904;AL;60,41
Belo Oriente;3106309;MG;93,02
Belo Vale;3106408;MG;85,39
Belterra;1501451;PA;62,75
Beneditinos;2201606;PI;61,14
Benedito Leite;2101806;MA;72,78
Benedito Novo;4202206;SC;98,68
Benevides;1501501;PA;91,95
Benjamin Constant;1300607;AM;61,11
Benjamin Constant do Sul;4302055;RS;69,93
Bento de Abreu;3506201;SP;95,8
Bento Fernandes;2401602;RN;75,98
Bento Gonçalves;4302105;RS;99,4
Bequimão;2101905;MA;21,13
Berilo;3106507;MG;53,43
Berizal;3106655;MG;82,69
Bernardino Batista;2502052;PB;83,99
Bernardino de Campos;3506300;SP;97,3
Bernardo do Mearim;2101939;MA;66,5
Bernardo Sayão;1703206;TO;68,82
Bertioga;3506359;SP;99,43
Bertolínia;2201705;PI;70,05
Bertópolis;3106606;MG;65,91
Beruri;1300631;AM;44,05
Betânia;2601805;PE;36,33
Betânia do Piauí;2201739;PI;36,96
Betim;3106705;MG;99,47
Bezerros;2601904;PE;89,11
Bias Fortes;3106804;MG;78,9
Bicas;3106903;MG;96,8
Biguaçu;4202305;SC;99,51
Bilac;3506409;SP;96,93
Biquinhas;3107000;MG;76,53
Birigui;3506508;SP;99,03
Biritiba Mirim;3506607;SP;95,6
Biritinga;2903607;BA;44,61
Bituruna;4102901;PR;74,03
Blumenau;4202404;SC;99,88
Boa Esperança;3107109;MG;94,12
Boa Esperança;3201001;ES;78,94
Boa Esperança;4103008;PR;89,72
Boa Esperança do Iguaçu;4103024;PR;77,64
Boa Esperança do Sul;3506706;SP;97,16
Boa Hora;2201770;PI;38,23
Boa Nova;2903706;BA;61,38
Boa Ventura;2502102;PB;76,23
Boa Ventura de São Roque;4103040;PR;59,31
Boa Viagem;2302404;CE;62,11
Boa Vista;1400100;RR;96,24
Boa Vista;2502151;PB;60,51
Boa Vista da Aparecida;4103057;PR;86,89
Boa Vista das Missões;4302154;RS;75,52
Boa Vista do Buricá;4302204;RS;90,9
Boa Vista do Cadeado;4302220;RS;47,49
Boa Vista do Gurupi;2101970;MA;77,96
Boa Vista do Incra;4302238;RS;51,73
Boa Vista do Ramos;1300680;AM;50,7
Boa Vista do Sul;4302253;RS;97,91
Boa Vista do Tupim;2903805;BA;65,91
Boca da Mata;2701001;AL;93,42
Boca do Acre;1300706;AM;40,45
Bocaina;2201804;PI;74
Bocaina;3506805;SP;97,94
Bocaina de Minas;3107208;MG;86,16
Bocaina do Sul;4202438;SC;86,63
Bocaiúva;3107307;MG;85,4
Bocaiúva do Sul;4103107;PR;93,66
Bodó;2401651;RN;65,23
Bodocó;2602001;PE;46,59
Bodoquena;5002159;MS;73,27
Bofete;3506904;SP;98,27
Boituva;3507001;SP;99,79
Bom Conselho;2602100;PE;71,04
Bom Despacho;3107406;MG;95,05
Bom Jardim;2102002;MA;59,9
Bom Jardim;2602209;PE;58,97
Bom Jardim;3300506;RJ;98,33
Bom Jardim da Serra;4202503;SC;89,79
Bom Jardim de Goiás;5203401;GO;81,09
Bom Jardim de Minas;3107505;MG;95
Bom Jesus;2201903;PI;82,88
Bom Jesus;2401701;RN;86,69
Bom Jesus;2502201;PB;76,52
Bom Jesus;4202537;SC;73,31
Bom Jesus;4302303;RS;88,16
Bom Jesus da Lapa;2903904;BA;73,28
Bom Jesus da Penha;3107604;MG;93,8
Bom Jesus da Serra;2903953;BA;39,34
