Municípios;Código municipal;UF;% do total geral
Araponga;3103702;MG;68,89
Arapongas;4101507;PR;89,12
Araporã;3103751;MG;90,76
Arapoti;4101606;PR;83,71
Arapuá;3103801;MG;81,34
Arapuã;4101655;PR;70,76
Araputanga;5101258;MT;85,38
Araquari;4201307;SC;90,97
Arara;2500908;PB;75,34
Araranguá;4201406;SC;92,04
Araraquara;3503208;SP;91,14
Araras;3503307;SP;91,68
Ararendá;2301257;CE;79,35
Arari;2101004;MA;68,26
Araricá;4300877;RS;90,08
Araripe;2301307;CE;64,39
Araripina;2601102;PE;75,58
Araruama;3300209;RJ;84,83
Araruna;2501005;PB;80,26
Araruna;4101705;PR;84,89
Arataca;2902252;BA;66,28
Aratiba;4300901;RS;85,4
Aratuba;2301406;CE;75,01
Aratuípe;2902302;BA;67,05
Arauá;2800407;SE;72,33
Araucária;4101804;PR;90,78
Araújos;3103900;MG;83,25
Araxá;3104007;MG;92,24
Arceburgo;3104106;MG;87,63
Arco-Íris;3503356;SP;65,89
Arcos;3104205;MG;88,37
Arcoverde;2601201;PE;84,38
Areado;3104304;MG;81,8
Areal;3300225;RJ;84,9
Arealva;3503406;SP;82,13
Areia;2501104;PB;77,34
Areia Branca;2401107;RN;88,6
Areia Branca;2800506;SE;78,63
Areia de Baraúnas;2501153;PB;79,35
Areial;2501203;PB;78,35
Areias;3503505;SP;75,63
Areiópolis;3503604;SP;92,21
Arenápolis;5101308;MT;80,83
Arenópolis;5202353;GO;84,6
Arês;2401206;RN;79,69
Argirita;3104403;MG;77,05
Aricanduva;3104452;MG;67,58
Arinos;3104502;MG;78,56
Aripuanã;5101407;MT;90,19
Ariquemes;1100023;RO;89,06
Ariranha;3503703;SP;84,71
Ariranha do Ivaí;4101853;PR;76,4
Armação dos Búzios;3300233;RJ;92,69
Armazém;4201505;SC;88,52
Arneiroz;2301505;CE;78,08
Aroazes;2200905;PI;72,37
Aroeiras;2501302;PB;71,89
Aroeiras do Itaim;2200954;PI;73,62
Arraial;2201002;PI;70,21
Arraial do Cabo;3300258;RJ;92,47
Arraias;1702406;TO;64,13
Arroio do Meio;4301008;RS;91
Arroio do Padre;4301073;RS;80
Arroio do Sal;4301057;RS;90,78
Arroio do Tigre;4301206;RS;86,17
Arroio dos Ratos;4301107;RS;81,92
Arroio Grande;4301305;RS;81,01
Arroio Trinta;4201604;SC;90,51
Artur Nogueira;3503802;SP;91,45
Aruanã;5202502;GO;87,66
Arujá;3503901;SP;91,85
Arvoredo;4201653;SC;85,96
Arvorezinha;4301404;RS;83,46
Ascurra;4201703;SC;88,19
Aspásia;3503950;SP;83,46
Assaí;4101903;PR;86,63
Assaré;2301604;CE;74,64
Assis;3504008;SP;90,48
Assis Brasil;1200054;AC;64,23
Assis Chateaubriand;4102000;PR;87,84
Assunção;2501351;PB;77,18
Assunção do Piauí;2201051;PI;73,81
Astolfo Dutra;3104601;MG;85,95
Astorga;4102109;PR;87,73
Atalaia;2700409;AL;77,12
Atalaia;4102208;PR;79,71
Atalaia do Norte;1300201;AM;43,42
Atalanta;4201802;SC;89,6
Ataléia;3104700;MG;69,91
Atibaia;3504107;SP;89,72
Atílio Vivácqua;3200706;ES;82,74
Augustinópolis;1702554;TO;85,74
Augusto Corrêa;1500909;PA;50,15
Augusto de Lima;3104809;MG;76,8
Augusto Pestana;4301503;RS;83,1
Áurea;4301552;RS;70,64
Aurelino Leal;2902401;BA;64,91
Auriflama;3504206;SP;88,19
Aurilândia;5202601;GO;78,65
Aurora;2301703;CE;72,59
Aurora;4201901;SC;84,34
Aurora do Pará;1500958;PA;61,13
Aurora do Tocantins;1702703;TO;72,47
Autazes;1300300;AM;66,53
Avaí;3504305;SP;80,41
Avanhandava;3504404;SP;89,28
Avaré;3504503;SP;90,31
Aveiro;1501006;PA;59,28
Avelino Lopes;2201101;PI;69,73
Avelinópolis;5202809;GO;84,15
Axixá;2101103;MA;76,36
Axixá do Tocantins;1702901;TO;85,8
Babaçulândia;1703008;TO;63,33
Bacabal;2101202;MA;83,27
Bacabeira;2101251;MA;71,62
Bacuri;2101301;MA;56,56
Bacurituba;2101350;MA;54,27
Bady Bassitt;3504602;SP;92,9
Baependi;3104908;MG;78,1
Bagé;4301602;RS;86,41
Bagre;1501105;PA;44,23
Baía da Traição;2501401;PB;73,76
Baía Formosa;2401404;RN;84,24
Baianópolis;2902500;BA;72,74
Baião;1501204;PA;58,5
Baixa Grande;2902609;BA;67,44
Baixa Grande do Ribeiro;2201150;PI;77,41
Baixio;2301802;CE;73,46
Baixo Guandu;3200805;ES;86,7
Balbinos;3504701;SP;87,36
Baldim;3105004;MG;76,17
Baliza;5203104;GO;83,54
Balneário Arroio do Silva;4201950;SC;92,05
Balneário Barra do Sul;4202057;SC;90,73
Balneário Camboriú;4202008;SC;96,39
Balneário Gaivota;4202073;SC;89,96
Balneário Piçarras;4212809;SC;93,33
Balneário Pinhal;4301636;RS;81,08
Balneário Rincão;4220000;SC;92,45
Balsa Nova;4102307;PR;86,83
Bálsamo;3504800;SP;88,33
Balsas;2101400;MA;89,4
Bambuí;3105103;MG;83,03
Banabuiú;2301851;CE;82,36
Bananal;3504909;SP;85,56
Bananeiras;2501500;PB;77,08
Bandeira;3105202;MG;71,59
Bandeira do Sul;3105301;MG;84,3
Bandeirante;4202081;SC;79,86
Bandeirantes;4102406;PR;84,95
Bandeirantes;5001508;MS;80,79
Bandeirantes do Tocantins;1703057;TO;74,96
Bannach;1501253;PA;77,7
Banzaê;2902658;BA;69,43
Barão;4301651;RS;86,49
Barão de Antonina;3505005;SP;71,05
Barão de Cocais;3105400;MG;85,02
Barão de Cotegipe;4301701;RS;85,86
Barão de Grajaú;2101509;MA;81,02
Barão de Melgaço;5101605;MT;78,25
Barão de Monte Alto;3105509;MG;80,86
Barão do Triunfo;4301750;RS;61,09
Baraúna;2401453;RN;86,63
Baraúna;2501534;PB;78,58
Barbacena;3105608;MG;85,15
Barbalha;2301901;CE;81,64
Barbosa;3505104;SP;83,28
Barbosa Ferraz;4102505;PR;73,73
Barcarena;1501303;PA;83,58
Barcelona;2401503;RN;74,46
Barcelos;1300409;AM;46,72
Bariri;3505203;SP;87,12
Barra;2902708;BA;58,81
Barra Bonita;3505302;SP;90,84
Barra Bonita;4202099;SC;81,73
Barra D'Alcântara;2201176;PI;85,78
Barra da Estiva;2902807;BA;83,77
Barra de Guabiraba;2601300;PE;75,72
Barra de Santa Rosa;2501609;PB;73,15
Barra de Santana;2501575;PB;75,95
Barra de Santo Antônio;2700508;AL;84,99
Barra de São Francisco;3200904;ES;82,67
Barra de São Miguel;2501708;PB;75,93
Barra de São Miguel;2700607;AL;87,06
Barra do Bugres;5101704;MT;83,9
Barra do Chapéu;3505351;SP;70,52
Barra do Choça;2902906;BA;81,26
Barra do Corda;2101608;MA;77,44
Barra do Garças;5101803;MT;87,45
Barra do Guarita;4301859;RS;83,8
Barra do Jacaré;4102703;PR;79,14
Barra do Mendes;2903003;BA;77,55
Barra do Ouro;1703073;TO;67,45
Barra do Piraí;3300308;RJ;87,57
Barra do Quaraí;4301875;RS;87,15
Barra do Ribeiro;4301909;RS;79,75
Barra do Rio Azul;4301925;RS;79,19
Barra do Rocha;2903102;BA;66,29
Barra do Turvo;3505401;SP;71,11
Barra dos Coqueiros;2800605;SE;91,02
Barra Funda;4301958;RS;90,63
Barra Longa;3105707;MG;73,36
Barra Mansa;3300407;RJ;88,98
Barra Velha;4202107;SC;93,41
Barracão;4102604;PR;89,74
Barracão;4301800;RS;81,31
Barras;2201200;PI;70,52
Barreira;2301950;CE;77,4
Barreiras;2903201;BA;88,24
Barreiras do Piauí;2201309;PI;71,79
Barreirinha;1300508;AM;54,61
Barreirinhas;2101707;MA;67,65
Barreiros;2601409;PE;82,51
Barretos;3505500;SP;91,03
Barrinha;3505609;SP;88,95
Barro;2302008;CE;80,83
Barro Alto;2903235;BA;79,97
Barro Alto;5203203;GO;85,89
Barro Duro;2201408;PI;71,9
Barro Preto;2903300;BA;66,46
Barrocas;2903276;BA;80,89
Barrolândia;1703107;TO;75,26
Barroquinha;2302057;CE;65,65
Barros Cassal;4302006;RS;59,27
Barroso;3105905;MG;83,75
Barueri;3505708;SP;93,5
Bastos;3505807;SP;87,14
Bataguassu;5001904;MS;90,6
Batalha;2201507;PI;74,83
Batalha;2700706;AL;78,74
Batatais;3505906;SP;91,09
Batayporã;5002001;MS;84,41
Baturité;2302107;CE;76,08
Bauru;3506003;SP;91,52
Bayeux;2501807;PB;84,51
Bebedouro;3506102;SP;90,51
Beberibe;2302206;CE;80,54
Bela Cruz;2302305;CE;72,66
Bela Vista;5002100;MS;84,92
Bela Vista da Caroba;4102752;PR;78,51
Bela Vista de Goiás;5203302;GO;85,17
Bela Vista de Minas;3106002;MG;81,68
Bela Vista do Maranhão;2101772;MA;78,74
Bela Vista do Paraíso;4102802;PR;85,37
Bela Vista do Piauí;2201556;PI;69,37
Bela Vista do Toldo;4202131;SC;74,1
Belágua;2101731;MA;47,49
Belém;1501402;PA;87,04
Belém;2501906;PB;74,42
Belém;2700805;AL;73,6
Belém de Maria;2601508;PE;71,44
Belém do Brejo do Cruz;2502003;PB;75,23
Belém do Piauí;2201572;PI;74,54
Belém do São Francisco;2601607;PE;78,25
Belford Roxo;3300456;RJ;82,99
Belmiro Braga;3106101;MG;83,45
Belmonte;2903409;BA;73,78
Belmonte;4202156;SC;85,22
Belo Campo;2903508;BA;78,77
Belo Horizonte;3106200;MG;91,73
Belo Jardim;2601706;PE;80,22
Belo Monte;2700904;AL;71,44
Belo Oriente;3106309;MG;87,9
Belo Vale;3106408;MG;71,23
Belterra;1501451;PA;74,22
Beneditinos;2201606;PI;61,02
Benedito Leite;2101806;MA;68,65
Benedito Novo;4202206;SC;88,18
Benevides;1501501;PA;82,67
Benjamin Constant;1300607;AM;57,42
Benjamin Constant do Sul;4302055;RS;69,1
Bento de Abreu;3506201;SP;89,97
Bento Fernandes;2401602;RN;80,59
Bento Gonçalves;4302105;RS;92,06
Bequimão;2101905;MA;60,94
Berilo;3106507;MG;72,2
Berizal;3106655;MG;71,23
Bernardino Batista;2502052;PB;81,76
Bernardino de Campos;3506300;SP;83,97
Bernardo do Mearim;2101939;MA;69,44
Bernardo Sayão;1703206;TO;86,67
Bertioga;3506359;SP;89,43
Bertolínia;2201705;PI;80,51
Bertópolis;3106606;MG;57,22
Beruri;1300631;AM;62,37
Betânia;2601805;PE;75,13
Betânia do Piauí;2201739;PI;73,26
Betim;3106705;MG;90,37
Bezerros;2601904;PE;76,28
Bias Fortes;3106804;MG;56,55
Bicas;3106903;MG;85,09
Biguaçu;4202305;SC;92,3
Bilac;3506409;SP;89,56
Biquinhas;3107000;MG;78,58
Birigui;3506508;SP;89,67
Biritiba Mirim;3506607;SP;83,94
Biritinga;2903607;BA;74,98
Bituruna;4102901;PR;85,11
Blumenau;4202404;SC;95,68
Boa Esperança;3107109;MG;83,95
Boa Esperança;3201001;ES;78,34
Boa Esperança;4103008;PR;89,96
Boa Esperança do Iguaçu;4103024;PR;79,84
Boa Esperança do Sul;3506706;SP;86,63
Boa Hora;2201770;PI;71,55
Boa Nova;2903706;BA;76,03
Boa Ventura;2502102;PB;70,88
Boa Ventura de São Roque;4103040;PR;76,63
Boa Viagem;2302404;CE;76,73
Boa Vista;1400100;RR;90,56
Boa Vista;2502151;PB;84,5
Boa Vista da Aparecida;4103057;PR;83,02
Boa Vista das Missões;4302154;RS;84,44
Boa Vista do Buricá;4302204;RS;88,53
Boa Vista do Cadeado;4302220;RS;85,26
Boa Vista do Gurupi;2101970;MA;75,13
Boa Vista do Incra;4302238;RS;91,67
Boa Vista do Ramos;1300680;AM;51,24
Boa Vista do Sul;4302253;RS;80,04
Boa Vista do Tupim;2903805;BA;62,59
Boca da Mata;2701001;AL;71,7
Boca do Acre;1300706;AM;65,65
Bocaina;2201804;PI;67,17
Bocaina;3506805;SP;85,67
Bocaina de Minas;3107208;MG;85,03
Bocaina do Sul;4202438;SC;71
Bocaiúva;3107307;MG;78,68
Bocaiúva do Sul;4103107;PR;83,43
Bodó;2401651;RN;78,43
Bodocó;2602001;PE;71,1
Bodoquena;5002159;MS;80,01
Bofete;3506904;SP;86,44
Boituva;3507001;SP;91,49
Bom Conselho;2602100;PE;69,77
Bom Despacho;3107406;MG;88,01
Bom Jardim;2102002;MA;74,4
Bom Jardim;2602209;PE;74,08
Bom Jardim;3300506;RJ;87,85
Bom Jardim da Serra;4202503;SC;86,18
Bom Jardim de Goiás;5203401;GO;80,2
Bom Jardim de Minas;3107505;MG;78,82
Bom Jesus;2201903;PI;88,44
Bom Jesus;2401701;RN;78,53
Bom Jesus;2502201;PB;74,91
Bom Jesus;4202537;SC;84,1
Bom Jesus;4302303;RS;75,26
Bom Jesus da Lapa;2903904;BA;81,03
Bom Jesus da Penha;3107604;MG;79,26
Bom Jesus da Serra;2903953;BA;68,68
Bom Jesus das Selvas;2102036;MA;74,14
Bom Jesus de Goiás;5203500;GO;90,8
Bom Jesus do Amparo;3107703;MG;77,28
Bom Jesus do Araguaia;5101852;MT;87,1
Bom Jesus do Galho;3107802;MG;76,82
Bom Jesus do Itabapoana;3300605;RJ;86,12
Bom Jesus do Norte;3201100;ES;81,91
Bom Jesus do Oeste;4202578;SC;83,87
Bom Jesus do Sul;4103156;PR;75,32
Bom Jesus do Tocantins;1501576;PA;77,41
Bom Jesus do Tocantins;1703305;TO;69,21
Bom Jesus dos Perdões;3507100;SP;89,99
Bom Lugar;2102077;MA;76
Bom Princípio;4302352;RS;90,89
Bom Princípio do Piauí;2201919;PI;58,25
Bom Progresso;4302378;RS;78,56
Bom Repouso;3107901;MG;80,32
Bom Retiro;4202602;SC;91,04
Bom Retiro do Sul;4302402;RS;88,26
Bom Sucesso;2502300;PB;82,33
Bom Sucesso;3108008;MG;77,22
Bom Sucesso;4103206;PR;83,8
Bom Sucesso de Itararé;3507159;SP;83,32
Bom Sucesso do Sul;4103222;PR;86,88
Bombinhas;4202453;SC;96,12
Bonfim;1400159;RR;54,02
Bonfim;3108107;MG;74,3
Bonfim do Piauí;2201929;PI;58,96
Bonfinópolis;5203559;GO;86,69
Bonfinópolis de Minas;3108206;MG;78,91
Boninal;2904001;BA;85,84
Bonito;1501600;PA;67,02
Bonito;2602308;PE;69,67
Bonito;2904050;BA;78,38
Bonito;5002209;MS;90,13
Bonito de Minas;3108255;MG;48,04
Bonito de Santa Fé;2502409;PB;75,41
Bonópolis;5203575;GO;77,27
Boqueirão;2502508;PB;81,17
Boqueirão do Leão;4302451;RS;76,29
Boqueirão do Piauí;2201945;PI;82,35
Boquim;2800670;SE;78,98
Boquira;2904100;BA;68,35
Borá;3507209;SP;77,64
Boracéia;3507308;SP;86,24
Borba;1300805;AM;60,29
Borborema;2502706;PB;72,96
Borborema;3507407;SP;86,76
Borda da Mata;3108305;MG;84,76
Borebi;3507456;SP;86,54
Borrazópolis;4103305;PR;81,01
Bossoroca;4302501;RS;70,17
Botelhos;3108404;MG;78,77
Botucatu;3507506;SP;91,19
Botumirim;3108503;MG;63,72
Botuporã;2904209;BA;75,52
Botuverá;4202701;SC;90,03
Bozano;4302584;RS;82,05
Braço do Norte;4202800;SC;95,04
Braço do Trombudo;4202859;SC;85,14
Braga;4302600;RS;73,59
Bragança;1501709;PA;72
Bragança Paulista;3507605;SP;90,71
Braganey;4103354;PR;83,02
Branquinha;2701100;AL;72,83
Brás Pires;3108701;MG;71,52
Brasil Novo;1501725;PA;69,8
Brasilândia;5002308;MS;90,54
Brasilândia de Minas;3108552;MG;85,01
