Municípios;Código municipal;UF;% do total geral
Bento Gonçalves;4302105;RS;99,88
Bequimão;2101905;MA;67,99
Berilo;3106507;MG;96,53
Berizal;3106655;MG;98,71
Bernardino Batista;2502052;PB;97,33
Bernardino de Campos;3506300;SP;99,97
Bernardo do Mearim;2101939;MA;98,61
Bernardo Sayão;1703206;TO;96,12
Bertioga;3506359;SP;99,67
Bertolínia;2201705;PI;95,92
Bertópolis;3106606;MG;91,79
Beruri;1300631;AM;72,3
Betânia;2601805;PE;86,83
Betânia do Piauí;2201739;PI;78,81
Betim;3106705;MG;99,92
Bezerros;2601904;PE;95,21
Bias Fortes;3106804;MG;99,22
Bicas;3106903;MG;99,95
Biguaçu;4202305;SC;99,81
Bilac;3506409;SP;100
Biquinhas;3107000;MG;99,81
Birigui;3506508;SP;99,97
Biritiba Mirim;3506607;SP;99,82
Biritinga;2903607;BA;92,46
Bituruna;4102901;PR;99,27
Blumenau;4202404;SC;99,93
Boa Esperança;3107109;MG;99,96
Boa Esperança;3201001;ES;99,68
Boa Esperança;4103008;PR;99,94
Boa Esperança do Iguaçu;4103024;PR;99,89
Boa Esperança do Sul;3506706;SP;99,87
Boa Hora;2201770;PI;81,22
Boa Nova;2903706;BA;94,01
Boa Ventura;2502102;PB;96,83
Boa Ventura de São Roque;4103040;PR;98,44
Boa Viagem;2302404;CE;92
Boa Vista;1400100;RR;98,99
Boa Vista;2502151;PB;93,77
Boa Vista da Aparecida;4103057;PR;99,97
Boa Vista das Missões;4302154;RS;100
Boa Vista do Buricá;4302204;RS;99,85
Boa Vista do Cadeado;4302220;RS;99,88
Boa Vista do Gurupi;2101970;MA;80,89
Boa Vista do Incra;4302238;RS;100
Boa Vista do Ramos;1300680;AM;66,28
Boa Vista do Sul;4302253;RS;100
Boa Vista do Tupim;2903805;BA;83,93
Boca da Mata;2701001;AL;98,89
Boca do Acre;1300706;AM;61,53
Bocaina;2201804;PI;96,01
Bocaina;3506805;SP;100
Bocaina de Minas;3107208;MG;99,64
Bocaina do Sul;4202438;SC;98,26
Bocaiúva;3107307;MG;99,47
Bocaiúva do Sul;4103107;PR;99,44
Bodó;2401651;RN;98,95
Bodocó;2602001;PE;76,3
Bodoquena;5002159;MS;99,47
Bofete;3506904;SP;99,92
Boituva;3507001;SP;99,97
Bom Conselho;2602100;PE;91,85
Bom Despacho;3107406;MG;99,93
Bom Jardim;2102002;MA;84,1
Bom Jardim;2602209;PE;97,07
Bom Jardim;3300506;RJ;99,95
