Municípios;Código municipal;UF;% do total geral
Boa Esperança;3201001;ES;65,39
Boa Esperança;4103008;PR;64,28
Boa Esperança do Iguaçu;4103024;PR;79,05
Boa Esperança do Sul;3506706;SP;55,64
Boa Hora;2201770;PI;94,46
Boa Nova;2903706;BA;81,9
Boa Ventura;2502102;PB;73,54
Boa Ventura de São Roque;4103040;PR;79,9
Boa Viagem;2302404;CE;68,21
Boa Vista;1400100;RR;53,27
Boa Vista;2502151;PB;80,63
Boa Vista da Aparecida;4103057;PR;70,94
Boa Vista das Missões;4302154;RS;74,9
Boa Vista do Buricá;4302204;RS;71,99
Boa Vista do Cadeado;4302220;RS;74,5
Boa Vista do Gurupi;2101970;MA;85,98
Boa Vista do Incra;4302238;RS;70,12
Boa Vista do Ramos;1300680;AM;89
Boa Vista do Sul;4302253;RS;83,17
Boa Vista do Tupim;2903805;BA;77,31
Boca da Mata;2701001;AL;67,79
Boca do Acre;1300706;AM;86,83
Bocaina;2201804;PI;85,74
Bocaina;3506805;SP;53,68
Bocaina de Minas;3107208;MG;77,11
Bocaina do Sul;4202438;SC;82,78
Bocaiúva;3107307;MG;71,83
Bocaiúva do Sul;4103107;PR;67,71
Bodó;2401651;RN;85,36
Bodocó;2602001;PE;83,94
Bodoquena;5002159;MS;61,46
Bofete;3506904;SP;56,85
Boituva;3507001;SP;49,78
Bom Conselho;2602100;PE;78,07
Bom Despacho;3107406;MG;52,78
Bom Jardim;2102002;MA;84,6
Bom Jardim;2602209;PE;85,64
Bom Jardim;3300506;RJ;56,2
Bom Jardim da Serra;4202503;SC;74,72
Bom Jardim de Goiás;5203401;GO;65,45
Bom Jardim de Minas;3107505;MG;66,37
Bom Jesus;2201903;PI;73,57
Bom Jesus;2401701;RN;71,18
Bom Jesus;2502201;PB;72,17
Bom Jesus;4202537;SC;69,95
Bom Jesus;4302303;RS;72,68
Bom Jesus da Lapa;2903904;BA;71,3
Bom Jesus da Penha;3107604;MG;65,33
Bom Jesus da Serra;2903953;BA;88,11
Bom Jesus das Selvas;2102036;MA;80,51
Bom Jesus de Goiás;5203500;GO;46,16
Bom Jesus do Amparo;3107703;MG;78,9
Bom Jesus do Araguaia;5101852;MT;60,56
Bom Jesus do Galho;3107802;MG;74,71
Bom Jesus do Itabapoana;3300605;RJ;60,93
Bom Jesus do Norte;3201100;ES;67,31
Bom Jesus do Oeste;4202578;SC;73,7
Bom Jesus do Sul;4103156;PR;70,78
Bom Jesus do Tocantins;1501576;PA;78,8
Bom Jesus do Tocantins;1703305;TO;77,43
Bom Jesus dos Perdões;3507100;SP;49,79
Bom Lugar;2102077;MA;90,15
Bom Princípio;4302352;RS;69,64
Bom Princípio do Piauí;2201919;PI;86,91
Bom Progresso;4302378;RS;71,01
Bom Repouso;3107901;MG;74,6
Bom Retiro;4202602;SC;66,34
Bom Retiro do Sul;4302402;RS;65,73
Bom Sucesso;2502300;PB;71,78
Bom Sucesso;3108008;MG;67,26
Bom Sucesso;4103206;PR;54,06
Bom Sucesso de Itararé;3507159;SP;61,02
Bom Sucesso do Sul;4103222;PR;73,07
