system:index,area_ha,classe,nome,prodes,territory,year,.geo
0_3_23,37.503575877380406,57,Portel,2017,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_24,140.1541202430723,58,Portel,2018,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_25,266.32492127456675,59,Portel,2019,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_26,219.91184538955707,60,Portel,2020,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_27,397.0242105735785,61,Portel,2021,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_28,60.99792348251354,62,Portel,2022,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_29,158.11307705841054,63,Portel,2023,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_30,336.0259980506896,64,Portel,2024,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_31,292652.4027253756,91,Portel,Hidrografia,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_32,3692797.2286777897,100,Portel,Vegetação Nativa,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_33,113309.45642995583,101,Portel,Não Floresta,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,1291521.3824475608,7,Rio Branco-Brasiléia,2007,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,13722.636005698385,8,Rio Branco-Brasiléia,2008,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,8800.64516406479,9,Rio Branco-Brasiléia,2009,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,8968.753852981567,10,Rio Branco-Brasiléia,2010,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,14627.922990708148,11,Rio Branco-Brasiléia,2011,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,12218.534389889563,12,Rio Branco-Brasiléia,2012,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,9519.768767760435,13,Rio Branco-Brasiléia,2013,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,16032.0199419159,14,Rio Branco-Brasiléia,2014,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_8,13376.259631043225,15,Rio Branco-Brasiléia,2015,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_9,20296.37459778439,16,Rio Branco-Brasiléia,2016,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_10,12505.381863593284,17,Rio Branco-Brasiléia,2017,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_11,16949.072813848117,18,Rio Branco-Brasiléia,2018,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_12,34311.20566362989,19,Rio Branco-Brasiléia,2019,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_13,24876.544975165612,20,Rio Branco-Brasiléia,2020,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_14,41393.255747551026,21,Rio Branco-Brasiléia,2021,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_15,37834.12479980846,22,Rio Branco-Brasiléia,2022,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_16,19306.972869614445,23,Rio Branco-Brasiléia,2023,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_17,16874.97283203964,24,Rio Branco-Brasiléia,2024,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_18,521.0247845932009,50,Rio Branco-Brasiléia,2010,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_19,144.56553323440542,51,Rio Branco-Brasiléia,2011,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
