Municípios;Código municipal;UF;habitantes por km²
Areia Branca;2401107;RN;70,29
Areia Branca;2800506;SE;122,06
Areia de Baraúnas;2501153;PB;17,58
Areial;2501203;PB;199,05
Areias;3503505;SP;11,72
Areiópolis;3503604;SP;117,92
Arenápolis;5101308;MT;25,34
Arenópolis;5202353;GO;2,74
Arês;2401206;RN;114,82
Argirita;3104403;MG;16,87
Aricanduva;3104452;MG;19,39
Arinos;3104502;MG;3,27
Aripuanã;5101407;MT;1
Ariquemes;1100023;RO;21,88
Ariranha;3503703;SP;57,32
Ariranha do Ivaí;4101853;PR;9,95
Armação dos Búzios;3300233;RJ;563,65
Armazém;4201505;SC;50,78
Arneiroz;2301505;CE;6,95
Aroazes;2200905;PI;6,54
Aroeiras;2501302;PB;49,73
Aroeiras do Itaim;2200954;PI;8,51
Arraial;2201002;PI;6,62
Arraial do Cabo;3300258;RJ;203,71
Arraias;1702406;TO;1,77
Arroio do Meio;4301008;RS;139,78
Arroio do Padre;4301073;RS;20,84
Arroio do Sal;4301057;RS;92,79
Arroio do Tigre;4301206;RS;38,26
Arroio dos Ratos;4301107;RS;34,29
Arroio Grande;4301305;RS;7
Arroio Trinta;4201604;SC;38,02
Artur Nogueira;3503802;SP;289,04
Aruanã;5202502;GO;2,72
Arujá;3503901;SP;901,33
Arvoredo;4201653;SC;27,73
Arvorezinha;4301404;RS;38,33
Ascurra;4201703;SC;73,7
Aspásia;3503950;SP;26,55
Assaí;4101903;PR;31,33
Assaré;2301604;CE;18,78
Assis;3504008;SP;220,16
Assis Brasil;1200054;AC;1,63
Assis Chateaubriand;4102000;PR;37,53
Assunção;2501351;PB;31,42
Assunção do Piauí;2201051;PI;4,41
Astolfo Dutra;3104601;MG;88,98
Astorga;4102109;PR;58,59
Atalaia;2700409;AL;70,34
Atalaia;4102208;PR;28,91
Atalaia do Norte;1300201;AM;0,2
Atalanta;4201802;SC;34,19
Ataléia;3104700;MG;7,48
Atibaia;3504107;SP;331,54
Atílio Vivácqua;3200706;ES;45,26
Augustinópolis;1702554;TO;44,97
Augusto Corrêa;1500909;PA;40,53
Augusto de Lima;3104809;MG;3,62
Augusto Pestana;4301503;RS;20,53
Áurea;4301552;RS;21,67
Aurelino Leal;2902401;BA;25,1
Auriflama;3504206;SP;31,51
Aurilândia;5202601;GO;5,81
Aurora;2301703;CE;26,77
Aurora;4201901;SC;32,75
Aurora do Pará;1500958;PA;13,12
Aurora do Tocantins;1702703;TO;4,8
Autazes;1300300;AM;5,43
Avaí;3504305;SP;8,29
Avanhandava;3504404;SP;33,29
Avaré;3504503;SP;76,51
Aveiro;1501006;PA;1,07
Avelino Lopes;2201101;PI;8,9
Avelinópolis;5202809;GO;16,85
Axixá;2101103;MA;73,48
Axixá do Tocantins;1702901;TO;66,84
Babaçulândia;1703008;TO;4,4
Bacabal;2101202;MA;62,6
Bacabeira;2101251;MA;31,25
Bacuri;2101301;MA;19,15
Bacurituba;2101350;MA;12,7
Bady Bassitt;3504602;SP;246,98
Baependi;3104908;MG;24,47
Bagé;4301602;RS;28,83
Bagre;1501105;PA;7,25
Baía da Traição;2501401;PB;89,77
Baía Formosa;2401404;RN;35,66
Baianópolis;2902500;BA;4,1
Baião;1501204;PA;13,73
Baixa Grande;2902609;BA;18,83
Baixa Grande do Ribeiro;2201150;PI;1,7
Baixio;2301802;CE;39,19
Baixo Guandu;3200805;ES;33,74
Balbinos;3504701;SP;42,42
Baldim;3105004;MG;13,47
Baliza;5203104;GO;1,88
Balneário Arroio do Silva;4201950;SC;167,45
Balneário Barra do Sul;4202057;SC;136,92
Balneário Camboriú;4202008;SC;3.077,7
Balneário Gaivota;4202073;SC;106,71
Balneário Piçarras;4212809;SC;273,03
Balneário Pinhal;4301636;RS;146,06
Balneário Rincão;4220000;SC;251,99
Balsa Nova;4102307;PR;38,39
Bálsamo;3504800;SP;64,02
Balsas;2101400;MA;7,74
Bambuí;3105103;MG;16,17
Banabuiú;2301851;CE;15,91
Bananal;3504909;SP;16,17
Bananeiras;2501500;PB;90,49
Bandeira;3105202;MG;9,8
Bandeira do Sul;3105301;MG;125,74
Bandeirante;4202081;SC;21,23
Bandeirantes;4102406;PR;70,25
Bandeirantes;5001508;MS;2,36
Bandeirantes do Tocantins;1703057;TO;2,21
Bannach;1501253;PA;1,36
Banzaê;2902658;BA;29,2
Barão;4301651;RS;51,79
Barão de Antonina;3505005;SP;23,06
Barão de Cocais;3105400;MG;90,49
Barão de Cotegipe;4301701;RS;27,42
Barão de Grajaú;2101509;MA;8,59
Barão de Melgaço;5101605;MT;0,64
Barão de Monte Alto;3105509;MG;25,03
Barão do Triunfo;4301750;RS;13,5
Baraúna;2401453;RN;32,59
Baraúna;2501534;PB;95,18
Barbacena;3105608;MG;165,07
Barbalha;2301901;CE;123,38
Barbosa;3505104;SP;27,48
Barbosa Ferraz;4102505;PR;20,04
Barcarena;1501303;PA;96,65
Barcelona;2401503;RN;26,12
Barcelos;1300409;AM;0,15
Bariri;3505203;SP;71,1
Barra;2902708;BA;4,47
Barra Bonita;3505302;SP;228,79
Barra Bonita;4202099;SC;18,02
Barra D'Alcântara;2201176;PI;15,14
Barra da Estiva;2902807;BA;15,7
Barra de Guabiraba;2601300;PE;103,36
Barra de Santa Rosa;2501609;PB;16,52
Barra de Santana;2501575;PB;21,48
Barra de Santo Antônio;2700508;AL;124,58
Barra de São Francisco;3200904;ES;44,99
Barra de São Miguel;2501708;PB;9,69
Barra de São Miguel;2700607;AL;106,99
Barra do Bugres;5101704;MT;4,92
Barra do Chapéu;3505351;SP;12,77
Barra do Choça;2902906;BA;47,71
Barra do Corda;2101608;MA;16,29
Barra do Garças;5101803;MT;8,28
Barra do Guarita;4301859;RS;50,33
Barra do Jacaré;4102703;PR;24,29
Barra do Mendes;2903003;BA;9,63
Barra do Ouro;1703073;TO;4,05
Barra do Piraí;3300308;RJ;158,88
Barra do Quaraí;4301875;RS;4,02
Barra do Ribeiro;4301909;RS;16,76
Barra do Rio Azul;4301925;RS;11,54
Barra do Rocha;2903102;BA;26,93
Barra do Turvo;3505401;SP;6,82
Barra dos Coqueiros;2800605;SE;449,9
Barra Funda;4301958;RS;41,33
Barra Longa;3105707;MG;14,77
Barra Mansa;3300407;RJ;310,52
Barra Velha;4202107;SC;326,52
Barracão;4102604;PR;60,53
Barracão;4301800;RS;9,37
Barras;2201200;PI;27,83
Barreira;2301950;CE;86,12
Barreiras;2903201;BA;19,84
Barreiras do Piauí;2201309;PI;1,51
Barreirinha;1300508;AM;5,4
Barreirinhas;2101707;MA;21,53
Barreiros;2601409;PE;171,87
Barretos;3505500;SP;78,21
Barrinha;3505609;SP;219,77
Barro;2302008;CE;27,25
Barro Alto;2903235;BA;32,46
Barro Alto;5203203;GO;9,6
Barro Duro;2201408;PI;41,65
Barro Preto;2903300;BA;28,94
Barrocas;2903276;BA;73,34
Barrolândia;1703107;TO;6,95
Barroquinha;2302057;CE;37,78
Barros Cassal;4302006;RS;14,35
Barroso;3105905;MG;244,67
Barueri;3505708;SP;4.816,87
Bastos;3505807;SP;125,81
Bataguassu;5001904;MS;9,63
Batalha;2201507;PI;16,55
Batalha;2700706;AL;52,07
Batatais;3505906;SP;68,75
Batayporã;5002001;MS;5,86
Baturité;2302107;CE;112,13
Bauru;3506003;SP;567,85
Bayeux;2501807;PB;2.986,54
Bebedouro;3506102;SP;111,79
Beberibe;2302206;CE;33,26
Bela Cruz;2302305;CE;38,92
