Municípios;Código municipal;UF;habitantes por km²
Ipuiúna;3131505;MG;30,63
Ipumirim;4207700;SC;31,78
Ipupiara;2914109;BA;9,41
Iracema;1400282;RR;0,72
Iracema;2306009;CE;16,68
Iracema do Oeste;4110656;PR;28,74
Iracemápolis;3521408;SP;190,82
Iraceminha;4207759;SC;24,14
Iraí;4310504;RS;41,21
Iraí de Minas;3131604;MG;20,15
Irajuba;2914208;BA;13,29
Iramaia;2914307;BA;6,29
Iranduba;1301852;AM;27,59
Irani;4207809;SC;31,29
Irapuã;3521507;SP;26,66
Irapuru;3521606;SP;33,04
Iraquara;2914406;BA;24,08
Irará;2914505;BA;104,68
Irati;4110706;PR;59,28
Irati;4207858;SC;26,56
Irauçuba;2306108;CE;16,31
Irecê;2914604;BA;233,44
Iretama;4110805;PR;18,73
Irineópolis;4207908;SC;17,44
Irituia;1503507;PA;22,35
Irupi;3202652;ES;74,19
Isaías Coelho;2204907;PI;9,71
Israelândia;5210307;GO;4,42
Itá;4208005;SC;42,5
Itaara;4310538;RS;32,25
Itabaiana;2506905;PB;110,09
Itabaiana;2802908;SE;306,68
Itabaianinha;2803005;SE;81,07
Itabela;2914653;BA;30,45
Itaberá;3521705;SP;16,34
Itaberaba;2914703;BA;27,27
Itaberaí;5210406;GO;30,6
Itabi;2803104;SE;25,87
Itabira;3131703;MG;90,41
Itabirinha;3131802;MG;49,57
Itabirito;3131901;MG;98,09
Itaboraí;3301900;RJ;521,6
Itabuna;2914802;BA;465,57
Itacajá;1710508;TO;2,24
Itacambira;3132008;MG;2,38
Itacarambi;3132107;MG;14,04
Itacaré;2914901;BA;38,15
Itacoatiara;1301902;AM;11,65
Itacuruba;2607406;PE;9,96
Itacurubi;4310553;RS;2,67
Itaeté;2915007;BA;10,12
Itagi;2915106;BA;44,44
Itagibá;2915205;BA;18,88
Itagimirim;2915304;BA;7,24
Itaguaçu;3202702;ES;25,4
Itaguaçu da Bahia;2915353;BA;2,86
Itaguaí;3302007;RJ;413,44
Itaguajé;4110904;PR;23,06
Itaguara;3132206;MG;33,73
Itaguari;5210562;GO;34,79
Itaguaru;5210604;GO;20,35
Itaguatins;1710706;TO;7,08
Itaí;3521804;SP;23,04
Itaíba;2607505;PE;30,75
Itaiçaba;2306207;CE;35,28
Itainópolis;2205003;PI;13,04
Itaiópolis;4208104;SC;16,99
Itaipava do Grajaú;2105351;MA;11,11
Itaipé;3132305;MG;21,76
Itaipulândia;4110953;PR;34,71
Itaitinga;2306256;CE;420,66
Itaituba;1503606;PA;1,99
Itajá;2404853;RN;35,81
Itajá;5210802;GO;2,1
Itajaí;4208203;SC;913
Itajobi;3521903;SP;33,84
Itaju;3522000;SP;15,71
Itaju do Colônia;2915403;BA;4,93
Itajubá;3132404;MG;315,68
Itajuípe;2915502;BA;69,37
Italva;3302056;RJ;48,33
Itamaraju;2915601;BA;25,25
Itamarandiba;3132503;MG;12,04
Itamarati;1301951;AM;0,43
Itamarati de Minas;3132602;MG;39,02
Itamari;2915700;BA;49,14
Itambacuri;3132701;MG;14,83
Itambaracá;4111001;PR;28,49
Itambé;2607653;PE;114,92
Itambé;2915809;BA;15,9
Itambé;4111100;PR;25,06
Itambé do Mato Dentro;3132800;MG;5,63
Itamogi;3132909;MG;44,19
Itamonte;3133006;MG;34,24
Itanagra;2915908;BA;11,08
Itanhaém;3522109;SP;186,93
Itanhandu;3133105;MG;106,28
Itanhangá;5104542;MT;2,59
Itanhém;2916005;BA;12,78
Itanhomi;3133204;MG;22,76
Itaobim;3133303;MG;28,2
Itaoca;3522158;SP;18,7
Itaocara;3302106;RJ;52,91
Itapaci;5210901;GO;22,13
Itapagipe;3133402;MG;7,6
Itapajé;2306306;CE;107,42
Itaparica;2916104;BA;163,04
Itapé;2916203;BA;22,82
Itapebi;2916302;BA;9,06
Itapecerica;3133501;MG;20,23
Itapecerica da Serra;3522208;SP;1.051,61
Itapecuru Mirim;2105401;MA;40,82
Itapejara d'Oeste;4111209;PR;48,6
Itapema;4208302;SC;1.304,59
Itapemirim;3202801;ES;72,33
Itaperuçu;4111258;PR;96,65
Itaperuna;3302205;RJ;91,3
Itapetim;2607703;PE;33,48
Itapetinga;2916401;BA;39,91
Itapetininga;3522307;SP;88,18
Itapeva;3133600;MG;71,57
Itapeva;3522406;SP;49,13
Itapevi;3522505;SP;2.810,34
Itapicuru;2916500;BA;20,34
Itapipoca;2306405;CE;81,93
Itapira;3522604;SP;138,93
Itapiranga;1302009;AM;2,34
Itapiranga;4208401;SC;59,05
Itapirapuã;5211008;GO;3,91
Itapirapuã Paulista;3522653;SP;10,59
Itapiratins;1710904;TO;2,87
Itapissuma;2607752;PE;375,15
Itapitanga;2916609;BA;24,44
Itapiúna;2306504;CE;30,07
Itapoá;4208450;SC;125,31
Itápolis;3522703;SP;39,62
Itaporã;5004502;MS;17,98
Itaporã do Tocantins;1711100;TO;2,48
Itaporanga;2507002;PB;52,02
Itaporanga;3522802;SP;27,73
Itaporanga d'Ajuda;2803203;SE;46,52
Itapororoca;2507101;PB;126,07
Itapuã do Oeste;1101104;RO;2,09
Itapuca;4310579;RS;10,49
Itapuí;3522901;SP;97,55
Itapura;3523008;SP;13,19
Itapuranga;5211206;GO;20,38
Itaquaquecetuba;3523107;SP;4.469,45
Itaquara;2916708;BA;23,69
Itaqui;4310603;RS;10,5
Itaquiraí;5004601;MS;9,41
Itaquitinga;2607802;PE;101,72
Itarana;3202900;ES;35,9
Itarantim;2916807;BA;10,19
Itararé;3523206;SP;44,27
Itarema;2306553;CE;60,09
Itariri;3523305;SP;56,74
Itarumã;5211305;GO;1,77
Itati;4310652;RS;12,86
Itatiaia;3302254;RJ;128,23
Itatiaiuçu;3133709;MG;43,93
Itatiba;3523404;SP;377,29
Itatiba do Sul;4310702;RS;15,08
Itatim;2916856;BA;28,74
Itatinga;3523503;SP;19,46
Itatira;2306603;CE;24,62
Itatuba;2507200;PB;41,7
Itaú;2404903;RN;39,99
Itaú de Minas;3133758;MG;93,9
Itaúba;5104559;MT;1,11
Itaubal;1600253;AP;3,45
Itauçu;5211404;GO;20,19
Itaueira;2205102;PI;4,04
Itaúna;3133808;MG;197,01
Itaúna do Sul;4111308;PR;27,72
Itaverava;3133907;MG;19,85
Itinga;3134004;MG;8,33
Itinga do Maranhão;2105427;MA;6,28
Itiquira;5104609;MT;1,41
Itirapina;3523602;SP;28,6
Itirapuã;3523701;SP;35,87
Itiruçu;2916906;BA;34,13
Itiúba;2917003;BA;20,52
Itobi;3523800;SP;57,89
Itororó;2917102;BA;52,95
Itu;3523909;SP;262,58
Ituaçu;2917201;BA;14,94
Ituberá;2917300;BA;52,72
Itueta;3134103;MG;13,38
Ituiutaba;3134202;MG;39,34
Itumbiara;5211503;GO;44,12
Itumirim;3134301;MG;28,27
Itupeva;3524006;SP;351,54
Itupiranga;1503705;PA;6,31
Ituporanga;4208500;SC;78,81
Iturama;3134400;MG;27,26
Itutinga;3134509;MG;11,34
Ituverava;3524105;SP;53,32
Iuiu;2917334;BA;7,29
Iúna;3203007;ES;62,07
Ivaí;4111407;PR;21,76
Ivaiporã;4111506;PR;74,88
Ivaté;4111555;PR;16,65
Ivatuba;4111605;PR;28,02
Ivinhema;5004700;MS;13,89
Ivolândia;5211602;GO;2,14
Ivorá;4310751;RS;15,69
Ivoti;4310801;RS;364,28
Jaboatão dos Guararapes;2607901;PE;2.489,28
Jaborá;4208609;SC;23,62
Jaborandi;2917359;BA;0,93
Jaborandi;3524204;SP;22,75
Jaboti;4111704;PR;38,97
Jaboticaba;4310850;RS;29,62
Jaboticabal;3524303;SP;101,64
Jaboticatubas;3134608;MG;18,3
Jaçanã;2405009;RN;143,58
Jacaraci;2917409;BA;10,83
Jacaraú;2507309;PB;56,36
Jacaré dos Homens;2703403;AL;34,12
Jacareacanga;1503754;PA;0,45
Jacareí;3524402;SP;517,53
Jacarezinho;4111803;PR;67,01
Jaci;3524501;SP;52,46
Jaciara;5104807;MT;11,76
Jacinto;3134707;MG;7,92
Jacinto Machado;4208708;SC;24,67
Jacobina;2917508;BA;37,66
Jacobina do Piauí;2205151;PI;4,21
Jacuí;3134806;MG;18,31
Jacuípe;2703502;AL;25,64
Jacuizinho;4310876;RS;6,01
Jacundá;1503804;PA;18,78
Jacupiranga;3524600;SP;22,86
Jacutinga;3134905;MG;73,42
Jacutinga;4310900;RS;18,75
Jaguapitã;4111902;PR;31,84
Jaguaquara;2917607;BA;49,72
Jaguaraçu;3135001;MG;18,88
Jaguarão;4311007;RS;12,97
Jaguarari;2917706;BA;13,26
Jaguaré;3203056;ES;43,85
Jaguaretama;2306702;CE;9,43
Jaguari;4311106;RS;15,67
Jaguariaíva;4112009;PR;24,18
Jaguaribara;2306801;CE;16,62
Jaguaribe;2306900;CE;17,97
Jaguaripe;2917805;BA;20,45
Jaguariúna;3524709;SP;419,74
Jaguaruana;2307007;CE;37,1
Jaguaruna;4208807;SC;62,43
Jaíba;3135050;MG;14,29
Jaicós;2205201;PI;20,22
Jales;3524808;SP;132,34
Jambeiro;3524907;SP;34,69
Jampruca;3135076;MG;8,31
Janaúba;3135100;MG;32,41
Jandaia;5211701;GO;7,27
Jandaia do Sul;4112108;PR;114,12
Jandaíra;2405108;RN;14,82
Jandaíra;2917904;BA;14,49
Jandira;3525003;SP;6.765,14
Janduís;2405207;RN;15,64
Jangada;5104906;MT;6,66
Janiópolis;4112207;PR;17,49
Januária;3135209;MG;9,78
Januário Cicco;2405306;RN;53,01
Japaraíba;3135308;MG;26,18
Japaratinga;2703601;AL;108,01
Japaratuba;2803302;SE;44,33
Japeri;3302270;RJ;1.178,61
Japi;2405405;RN;27,08
Japira;4112306;PR;26,47
Japoatã;2803401;SE;33,32
Japonvar;3135357;MG;21,66
Japorã;5004809;MS;19,56
Japurá;1302108;AM;0,16
Japurá;4112405;PR;55,36
Jaqueira;2607950;PE;117,5
Jaquirana;4311122;RS;4,06
Jaraguá;5211800;GO;24,46
Jaraguá do Sul;4208906;SC;344,06
Jaraguari;5004908;MS;2,45
Jaramataia;2703700;AL;47,29
Jardim;2307106;CE;50,3
Jardim;5005004;MS;11,28
Jardim Alegre;4112504;PR;29,04
Jardim de Angicos;2405504;RN;9,59
Jardim de Piranhas;2405603;RN;42,29
Jardim do Mulato;2205250;PI;8,19
Jardim do Seridó;2405702;RN;31,7
Jardim Olinda;4112603;PR;10,45
Jardinópolis;3525102;SP;90,23
Jardinópolis;4208955;SC;25,93
Jari;4311130;RS;3,93
Jarinu;3525201;SP;180,85
Jaru;1100114;RO;17,18
Jataí;5211909;GO;14,73
Jataizinho;4112702;PR;74,21
Jataúba;2608008;PE;22,17
Jateí;5005103;MS;1,85
Jati;2307205;CE;21,34
Jatobá;2105450;MA;12,63
Jatobá;2608057;PE;50,46
Jatobá do Piauí;2205276;PI;6,91
Jaú;3525300;SP;194,29
Jaú do Tocantins;1711506;TO;1,54
Jaupaci;5212006;GO;5,53
Jauru;5105002;MT;6,22
Jeceaba;3135407;MG;26,23
Jenipapo de Minas;3135456;MG;21,44
Jenipapo dos Vieiras;2105476;MA;8,7
Jequeri;3135506;MG;22,67
Jequiá da Praia;2703759;AL;28,33
Jequié;2918001;BA;53,49
Jequitaí;3135605;MG;5,11
Jequitibá;3135704;MG;13,22
Jequitinhonha;3135803;MG;6,83
Jeremoabo;2918100;BA;8,82
Jericó;2507408;PB;42,38
Jeriquara;3525409;SP;27,21
Jerônimo Monteiro;3203106;ES;65,27
Jerumenha;2205300;PI;2,41
Jesuânia;3135902;MG;33,4
Jesuítas;4112751;PR;42,45
Jesúpolis;5212055;GO;18,43
Ji-Paraná;1100122;RO;18,03
Jijoca de Jericoacoara;2307254;CE;122,26
Jiquiriçá;2918209;BA;57,11
Jitaúna;2918308;BA;54,78
Joaçaba;4209003;SC;124,76
Joaíma;3136009;MG;8,35
Joanésia;3136108;MG;18,56
Joanópolis;3525508;SP;34,24
João Alfredo;2608107;PE;206,68
João Câmara;2405801;RN;46,56
João Costa;2205359;PI;1,65
João Dias;2405900;RN;23,54
João Dourado;2918357;BA;27,21
João Lisboa;2105500;MA;21,73
João Monlevade;3136207;MG;808,68
João Neiva;3203130;ES;49,45
João Pessoa;2507507;PB;3.970,27
João Pinheiro;3136306;MG;4,36
João Ramalho;3525607;SP;10,52
Joaquim Felício;3136405;MG;4,87
Joaquim Gomes;2703809;AL;57,52
Joaquim Nabuco;2608206;PE;108,24
Joaquim Pires;2205409;PI;18,75
Joaquim Távora;4112801;PR;41,31
Joca Claudino;2513653;PB;35,36
Joca Marques;2205458;PI;31,92
Jóia;4311155;RS;5,8
Joinville;4209102;SC;546,41
Jordânia;3136504;MG;18,85
Jordão;1200328;AC;1,72
José Boiteux;4209151;SC;14,76
José Bonifácio;3525706;SP;42,59
José da Penha;2406007;RN;49,33
José de Freitas;2205508;PI;27,67
José Gonçalves de Minas;3136520;MG;10,41
José Raydan;3136553;MG;23,6
Joselândia;2105609;MA;21,23
Josenópolis;3136579;MG;6,7
Joviânia;5212105;GO;16,04
Juara;5105101;MT;1,54
Juarez Távora;2507606;PB;103,02
Juarina;1711803;TO;4,64
Juatuba;3136652;MG;316,6
Juazeirinho;2507705;PB;35,83
Juazeiro;2918407;BA;35,38
Juazeiro do Norte;2307304;CE;1.105,62
Juazeiro do Piauí;2205516;PI;5,57
Jucás;2307403;CE;25,44
Jucati;2608255;PE;95,56
Jucuruçu;2918456;BA;6,62
Jucurutu;2406106;RN;19,06
Juína;5105150;MT;1,74
Juiz de Fora;3136702;MG;376,64
Júlio Borges;2205524;PI;4,2
Júlio de Castilhos;4311205;RS;9,45
Júlio Mesquita;3525805;SP;33,19
Jumirim;3525854;SP;53,91
Junco do Maranhão;2105658;MA;9,05
Junco do Seridó;2507804;PB;37,65
Jundiá;2406155;RN;83,76
Jundiá;2703908;AL;46,08
Jundiaí;3525904;SP;1.027,87
Jundiaí do Sul;4112900;PR;10,39
Junqueiro;2704005;AL;96,51
Junqueirópolis;3526001;SP;35,1
Jupi;2608305;PE;146,22
Jupiá;4209177;SC;27,94
Juquiá;3526100;SP;21,1
Juquitiba;3526209;SP;52,48
Juramento;3136801;MG;8,73
Juranda;4112959;PR;21,93
Jurema;2205532;PI;3,48
Jurema;2608404;PE;92,06
Juripiranga;2507903;PB;127,21
Juru;2508000;PB;23,37
Juruá;1302207;AM;0,55
Juruaia;3136900;MG;50,3
Juruena;5105176;MT;3,18
Juruti;1503903;PA;6,13
Juscimeira;5105200;MT;5,01
Jussara;2918506;BA;12,07
Jussara;4113007;PR;31,73
Jussara;5212204;GO;4,79
Jussari;2918555;BA;17,89
Jussiape;2918605;BA;12,51
Jutaí;1302306;AM;0,36
Juti;5005152;MS;4,29
Juvenília;3136959;MG;5,44
Kaloré;4113106;PR;23,7
Lábrea;1302405;AM;0,67
Lacerdópolis;4209201;SC;32,56
Ladainha;3137007;MG;16,6
Ladário;5005202;MS;60,75
Lafaiete Coutinho;2918704;BA;8,18
Lagamar;3137106;MG;4,5
Lagarto;2803500;SE;104,84
Lages;4209300;SC;62,55
Lago da Pedra;2105708;MA;35,8
Lago do Junco;2105807;MA;28,94
Lago dos Rodrigues;2105948;MA;39,67
Lago Verde;2105906;MA;23,39
Lagoa;2508109;PB;24,99
Lagoa Alegre;2205557;PI;20,94
Lagoa Bonita do Sul;4311239;RS;20,51
Lagoa d'Anta;2406205;RN;62,98
Lagoa da Canoa;2704104;AL;220,72
Lagoa da Confusão;1711902;TO;1,45
Lagoa da Prata;3137205;MG;116,85
Lagoa de Dentro;2508208;PB;93,63
Lagoa de Itaenga;2608503;PE;338,55
Lagoa de Pedras;2406304;RN;62,2
Lagoa de São Francisco;2205573;PI;40,62
Lagoa de Velhos;2406403;RN;23
Lagoa do Barro do Piauí;2205565;PI;3,75
Lagoa do Carro;2608453;PE;258,1
Lagoa do Mato;2105922;MA;6,99
Lagoa do Ouro;2608602;PE;60,04
Lagoa do Piauí;2205581;PI;11,24
Lagoa do Sítio;2205599;PI;5,61
Lagoa do Tocantins;1711951;TO;3,83
Lagoa dos Gatos;2608701;PE;62,57
Lagoa dos Patos;3137304;MG;5,52
Lagoa dos Três Cantos;4311270;RS;12,54
Lagoa Dourada;3137403;MG;26,79
Lagoa Formosa;3137502;MG;22,48
Lagoa Grande;2608750;PE;13,02
Lagoa Grande;3137536;MG;7,25
Lagoa Grande do Maranhão;2105963;MA;15,33
Lagoa Nova;2406502;RN;88,33
Lagoa Real;2918753;BA;15,46
Lagoa Salgada;2406601;RN;105,13
Lagoa Santa;3137601;MG;327,56
Lagoa Santa;5212253;GO;3
Lagoa Seca;2508307;PB;256,24
Lagoa Vermelha;4311304;RS;21,95
Lagoão;4311254;RS;13,78
Lagoinha;3526308;SP;19,9
Lagoinha do Piauí;2205540;PI;43,44
Laguna;4209409;SC;128,38
Laguna Carapã;5005251;MS;3,94
Laje;2918803;BA;46,8
Laje do Muriaé;3302304;RJ;28,94
Lajeado;1712009;TO;10,55
Lajeado;4311403;RS;1.026,47
Lajeado do Bugre;4311429;RS;38,28
Lajeado Grande;4209458;SC;26,05
Lajeado Novo;2105989;MA;6,63
Lajedão;2918902;BA;6,16
Lajedinho;2919009;BA;4,17
Lajedo;2608800;PE;209,32
Lajedo do Tabocal;2919058;BA;19,57
Lajes;2406700;RN;14,58
Lajes Pintadas;2406809;RN;36,76
Lajinha;3137700;MG;48,24
Lamarão;2919108;BA;47,63
Lambari;3137809;MG;95,79
Lambari D'Oeste;5105234;MT;2,65
Lamim;3137908;MG;26,85
Landri Sales;2205607;PI;4,79
Lapa;4113205;PR;21,49
Lapão;2919157;BA;40,03
Laranja da Terra;3203163;ES;24,2
Laranjal;3138005;MG;29,1
Laranjal;4113254;PR;10,01
Laranjal do Jari;1600279;AP;1,14
Laranjal Paulista;3526407;SP;68,34
Laranjeiras;2803609;SE;147,74
Laranjeiras do Sul;4113304;PR;47,84
Lassance;3138104;MG;2,22
Lastro;2508406;PB;29,44
Laurentino;4209508;SC;99,98
Lauro de Freitas;2919207;BA;3.509,22
Lauro Müller;4209607;SC;52,9
Lavandeira;1712157;TO;3,47
Lavínia;3526506;SP;18,02
Lavras;3138203;MG;185,5
Lavras da Mangabeira;2307502;CE;32,59
Lavras do Sul;4311502;RS;2,75
Lavrinhas;3526605;SP;42,92
Leandro Ferreira;3138302;MG;9,09
Lebon Régis;4209706;SC;12,18
Leme;3526704;SP;243,65
Leme do Prado;3138351;MG;15,5
Lençóis;2919306;BA;8,4
Lençóis Paulista;3526803;SP;82,15
Leoberto Leal;4209805;SC;11,34
Leopoldina;3138401;MG;54,23
Leopoldo de Bulhões;5212303;GO;18,37
Leópolis;4113403;PR;10,88
Liberato Salzano;4311601;RS;19,46
Liberdade;3138500;MG;11,8
Licínio de Almeida;2919405;BA;13,81
Lidianópolis;4113429;PR;26
Lima Campos;2106003;MA;35,09
Lima Duarte;3138609;MG;20,29
Limeira;3526902;SP;502,61
Limeira do Oeste;3138625;MG;6,6
Limoeiro;2608909;PE;206,44
Limoeiro de Anadia;2704203;AL;80,01
Limoeiro do Ajuru;1504000;PA;19,84
Limoeiro do Norte;2307601;CE;80
Lindoeste;4113452;PR;14,91
Lindóia;3527009;SP;143,86
Lindóia do Sul;4209854;SC;23,92
Lindolfo Collor;4311627;RS;187,34
Linha Nova;4311643;RS;26,5
Linhares;3203205;ES;47,7
Lins;3527108;SP;131,18
Livramento;2508505;PB;25,76
Livramento de Nossa Senhora;2919504;BA;22,49
Lizarda;1712405;TO;0,52
Loanda;4113502;PR;32,15
Lobato;4113601;PR;19,1
Logradouro;2508554;PB;111,88
Londrina;4113700;PR;336,42
Lontra;3138658;MG;33,95
Lontras;4209904;SC;65,15
Lorena;3527207;SP;204,88
Loreto;2106102;MA;3,22
Lourdes;3527256;SP;17,11
Louveira;3527306;SP;930,19
Lucas do Rio Verde;5105259;MT;22,8
Lucélia;3527405;SP;63,72
Lucena;2508604;PB;133,9
Lucianópolis;3527504;SP;12,51
Luciara;5105309;MT;0,59
Lucrécia;2406908;RN;112,83
Luís Antônio;3527603;SP;20,5
Luís Correia;2205706;PI;28,53
Luís Domingues;2106201;MA;15,16
Luís Eduardo Magalhães;2919553;BA;26,74
Luís Gomes;2407005;RN;54,43
Luisburgo;3138674;MG;47,83
Luislândia;3138682;MG;15,08
Luiz Alves;4210001;SC;44,92
Luiziana;4113734;PR;7,3
Luiziânia;3527702;SP;28,22
Luminárias;3138708;MG;11,17
Lunardelli;4113759;PR;24,46
Lupércio;3527801;SP;25,66
Lupionópolis;4113809;PR;39,76
Lutécia;3527900;SP;5,6
Luz;3138807;MG;15,26
Luzerna;4210035;SC;49,48
Luziânia;5212501;GO;52,78
Luzilândia;2205805;PI;35,96
Luzinópolis;1712454;TO;9,65
Macaé;3302403;RJ;202,46
Macaíba;2407104;RN;161,24
Macajuba;2919603;BA;14,91
Maçambará;4311718;RS;2,63
Macambira;2803708;SE;49,73
Macapá;1600303;AP;67,48
Macaparana;2609006;PE;221
Macarani;2919702;BA;17,85
Macatuba;3528007;SP;74,96
Macau;2407203;RN;35,3
Macaubal;3528106;SP;30,15
Macaúbas;2919801;BA;17,02
Macedônia;3528205;SP;12,1
Maceió;2704302;AL;1.880,77
Machacalis;3138906;MG;19,52
Machadinho;4311700;RS;17,11
Machadinho D'Oeste;1100130;RO;3,61
Machado;3139003;MG;64,31
Machados;2609105;PE;183,92
Macieira;4210050;SC;6,81
Macuco;3302452;RJ;69,1
Macururé;2919900;BA;2,85
Madalena;2307635;CE;16,93
Madeiro;2205854;PI;44,91
Madre de Deus;2919926;BA;574,64
Madre de Deus de Minas;3139102;MG;10,53
Mãe d'Água;2508703;PB;15,67
Mãe do Rio;1504059;PA;73,19
Maetinga;2919959;BA;11,34
Mafra;4210100;SC;39,38
Magalhães Barata;1504109;PA;25,05
Magalhães de Almeida;2106300;MA;31,78
Magda;3528304;SP;10,14
Magé;3302502;RJ;583,78
Maiquinique;2920007;BA;14,84
Mairi;2920106;BA;19,49
Mairinque;3528403;SP;238,05
Mairiporã;3528502;SP;292,65
Mairipotaba;5212600;GO;5,47
Major Gercino;4210209;SC;10,5
Major Isidoro;2704401;AL;39,98
Major Sales;2407252;RN;122,74
Major Vieira;4210308;SC;14,26
Malacacheta;3139201;MG;24,06
Malhada;2920205;BA;7,78
Malhada de Pedras;2920304;BA;15,75
Malhada dos Bois;2803807;SE;56,63
Malhador;2803906;SE;113,19
Mallet;4113908;PR;17,66
Malta;2508802;PB;35,15
Mamanguape;2508901;PB;132,17
Mambaí;5212709;GO;9,47
Mamborê;4114005;PR;17,07
Mamonas;3139250;MG;21,09
Mampituba;4311734;RS;19,99
Manacapuru;1302504;AM;13,89
Manaíra;2509008;PB;29,64
Manaquiri;1302553;AM;4,31
Manari;2609154;PE;68,94
Manaus;1302603;AM;181,01
Mâncio Lima;1200336;AC;3,54
Mandaguaçu;4114104;PR;106,99
Mandaguari;4114203;PR;109,33
Mandirituba;4114302;PR;72,36
Manduri;3528601;SP;43,1
Manfrinópolis;4114351;PR;12,84
Manga;3139300;MG;9,68
Mangaratiba;3302601;RJ;112,13
Mangueirinha;4114401;PR;15,73
Manhuaçu;3139409;MG;146,24
Manhumirim;3139508;MG;112,7
Manicoré;1302702;AM;1,12
Manoel Emídio;2205904;PI;3,21
Manoel Ribas;4114500;PR;24,93
Manoel Urbano;1200344;AC;1,13
Manoel Viana;4311759;RS;4,89
Manoel Vitorino;2920403;BA;6,29
Mansidão;2920452;BA;4,45
Mantena;3139607;MG;38,73
Mantenópolis;3203304;ES;39,73
Maquiné;4311775;RS;12,09
Mar de Espanha;3139805;MG;34,23
Mar Vermelho;2704906;AL;34,39
Mara Rosa;5212808;GO;6,31
Maraã;1302801;AM;0,92
Marabá;1504208;PA;17,62
Marabá Paulista;3528700;SP;4,97
Maracaçumé;2106326;MA;33,27
Maracaí;3528809;SP;23,75
Maracajá;4210407;SC;124,24
Maracaju;5005400;MS;8,35
Maracanã;1504307;PA;32,16
Maracanaú;2307650;CE;2.231,91
Maracás;2920502;BA;11,45
Maragogi;2704500;AL;96,28
Maragogipe;2920601;BA;81,94
Maraial;2609204;PE;46,83
Marajá do Sena;2106359;MA;5,01
Maranguape;2307700;CE;180,11
Maranhãozinho;2106375;MA;18,08
Marapanim;1504406;PA;33,03
Marapoama;3528858;SP;29,59
Maratá;4311791;RS;30,1
Marataízes;3203320;ES;321,87
Marau;4311809;RS;69,45
Maraú;2920700;BA;28,89
Maravilha;2704609;AL;28,68
Maravilha;4210506;SC;165,85
Maravilhas;3139706;MG;28,03
Marcação;2509057;PB;73,36
Marcelândia;5105580;MT;0,93
Marcelino Ramos;4311908;RS;18,8
Marcelino Vieira;2407302;RN;22,84
Marcionílio Souza;2920809;BA;8,43
Marco;2307809;CE;44,98
Marcolândia;2205953;PI;62,38
Marcos Parente;2206001;PI;6,97
Marechal Cândido Rondon;4114609;PR;74,87
Marechal Deodoro;2704708;AL;177,05
Marechal Floriano;3203346;ES;61,79
Marechal Thaumaturgo;1200351;AC;2,09
Marema;4210555;SC;20,96
Mari;2509107;PB;138,55
Maria da Fé;3139904;MG;70,22
Maria Helena;4114708;PR;12,06
Marialva;4114807;PR;88
Mariana;3140001;MG;51,4
Mariana Pimentel;4311981;RS;11,57
Mariano Moro;4312005;RS;18,82
Marianópolis do Tocantins;1712504;TO;2,21
Mariápolis;3528908;SP;18,83
Maribondo;2704807;AL;75,95
Maricá;3302700;RJ;545,61
Marilac;3140100;MG;26,6
Marilândia;3203353;ES;37,81
Marilândia do Sul;4114906;PR;22,57
Marilena;4115002;PR;31,21
Marília;3529005;SP;203,01
Mariluz;4115101;PR;22,73
Maringá;4115200;PR;841,16
Marinópolis;3529104;SP;23,9
Mário Campos;3140159;MG;451,76
Mariópolis;4115309;PR;27,66
Maripá;4115358;PR;23,1
Maripá de Minas;3140209;MG;43,79
Marituba;1504422;PA;1.083,04
Marizópolis;2509156;PB;95,85
Marliéria;3140308;MG;8,41
Marmeleiro;4115408;PR;41,02
Marmelópolis;3140407;MG;29,66
Marques de Souza;4312054;RS;31,57
Marquinho;4115457;PR;8,94
Martinho Campos;3140506;MG;13,23
Martinópole;2307908;CE;35,74
Martinópolis;3529203;SP;19,85
Martins;2407401;RN;48,26
Martins Soares;3140530;MG;74,13
Maruim;2804003;SE;164,5
Marumbi;4115507;PR;22,54
Marzagão;5212907;GO;12,23
Mascote;2920908;BA;18,24
Massapê;2308005;CE;66,39
Massapê do Piauí;2206050;PI;9,84
Massaranduba;2509206;PB;67,52
Massaranduba;4210605;SC;45,83
Mata;4312104;RS;14,86
Mata de São João;2921005;BA;70,34
Mata Grande;2705002;AL;23,88
Mata Roma;2106409;MA;31,15
Mata Verde;3140555;MG;40,05
Matão;3529302;SP;150,57
Mataraca;2509305;PB;45,19
Mateiros;1712702;TO;0,29
Matelândia;4115606;PR;28,84
Materlândia;3140605;MG;14,13
Mateus Leme;3140704;MG;125,56
Mathias Lobato;3171501;MG;17,63
Matias Barbosa;3140803;MG;89,9
Matias Cardoso;3140852;MG;4,58
Matias Olímpio;2206100;PI;46,92
Matina;2921054;BA;13,36
Matinha;2106508;MA;53,66
Matinhas;2509339;PB;125,16
Matinhos;4115705;PR;332,99
Matipó;3140902;MG;69,49
Mato Castelhano;4312138;RS;10,71
Mato Grosso;2509370;PB;29,82
Mato Leitão;4312153;RS;103,83
Mato Queimado;4312179;RS;15,66
Mato Rico;4115739;PR;8,28
Mato Verde;3141009;MG;25,49
Matões;2106607;MA;15,26
Matões do Norte;2106631;MA;21,94
Matos Costa;4210704;SC;6,34
Matozinhos;3141108;MG;149,01
Matrinchã;5212956;GO;3,51
Matriz de Camaragibe;2705101;AL;100,19
