Municípios;Código municipal;UF;%
Apiacás;5100805;MT;1,64
Apiaí;3502705;SP;0,17
Apicum-Açu;2100832;MA;100
Apiúna;4201257;SC;0,04
Apodi;2401008;RN;sem ocorrência
Aporá;2901908;BA;sem ocorrência
Aporé;5201504;GO;sem ocorrência
Apuarema;2901957;BA;sem ocorrência
Apucarana;4101408;PR;sem ocorrência
Apuí;1300144;AM;0,22
Apuiarés;2300903;CE;sem ocorrência
Aquidabã;2800209;SE;sem ocorrência
Aquidauana;5001102;MS;2,66
Aquiraz;2301000;CE;3,74
Arabutã;4201273;SC;sem ocorrência
Araçagi;2500809;PB;sem ocorrência
Araçaí;3103207;MG;sem ocorrência
Aracaju;2800308;SE;1,04
Araçariguama;3502754;SP;sem ocorrência
Araçás;2902054;BA;sem ocorrência
Aracati;2301109;CE;sem ocorrência
Aracatu;2902005;BA;sem ocorrência
Araçatuba;3502804;SP;sem ocorrência
Araci;2902104;BA;sem ocorrência
Aracitaba;3103306;MG;sem ocorrência
Aracoiaba;2301208;CE;sem ocorrência
Araçoiaba;2601052;PE;92,98
Araçoiaba da Serra;3502903;SP;sem ocorrência
Aracruz;3200607;ES;0,2
Araçu;5201603;GO;sem ocorrência
Araçuaí;3103405;MG;sem ocorrência
Aragarças;5201702;GO;sem ocorrência
Aragoiânia;5201801;GO;sem ocorrência
Aragominas;1701309;TO;0,11
Araguacema;1701903;TO;100
Araguaçu;1702000;TO;sem ocorrência
Araguaiana;5101001;MT;sem ocorrência
Araguaína;1702109;TO;2,51
Araguainha;5101209;MT;sem ocorrência
Araguanã;1702158;TO;sem ocorrência
Araguanã;2100873;MA;sem ocorrência
Araguapaz;5202155;GO;sem ocorrência
Araguari;3103504;MG;sem ocorrência
Araguatins;1702208;TO;6,96
Araioses;2100907;MA;46,9
Aral Moreira;5001243;MS;sem ocorrência
Aramari;2902203;BA;sem ocorrência
Arambaré;4300851;RS;sem ocorrência
Arame;2100956;MA;sem ocorrência
Aramina;3503000;SP;sem ocorrência
Arandu;3503109;SP;sem ocorrência
Arantina;3103603;MG;sem ocorrência
Arapeí;3503158;SP;sem ocorrência
Arapiraca;2700300;AL;sem ocorrência
Arapoema;1702307;TO;sem ocorrência
Araponga;3103702;MG;0,02
Arapongas;4101507;PR;sem ocorrência
Araporã;3103751;MG;sem ocorrência
Arapoti;4101606;PR;0,06
Arapuá;3103801;MG;sem ocorrência
Arapuã;4101655;PR;sem ocorrência
Araputanga;5101258;MT;sem ocorrência
Araquari;4201307;SC;sem ocorrência
Arara;2500908;PB;sem ocorrência
Araranguá;4201406;SC;sem ocorrência
Araraquara;3503208;SP;sem ocorrência
Araras;3503307;SP;sem ocorrência
Ararendá;2301257;CE;sem ocorrência
Arari;2101004;MA;93,65
Araricá;4300877;RS;sem ocorrência
Araripe;2301307;CE;83,41
Araripina;2601102;PE;28,61
Araruama;3300209;RJ;4,07
Araruna;2501005;PB;sem ocorrência
Araruna;4101705;PR;sem ocorrência
Arataca;2902252;BA;0,86
Aratiba;4300901;RS;sem ocorrência
Aratuba;2301406;CE;73,65
Aratuípe;2902302;BA;sem ocorrência
Arauá;2800407;SE;sem ocorrência
Araucária;4101804;PR;1,89
Araújos;3103900;MG;sem ocorrência
Araxá;3104007;MG;sem ocorrência
Arceburgo;3104106;MG;sem ocorrência
Arco-Íris;3503356;SP;sem ocorrência
Arcos;3104205;MG;sem ocorrência
Arcoverde;2601201;PE;sem ocorrência
Areado;3104304;MG;sem ocorrência
Areal;3300225;RJ;sem ocorrência
Arealva;3503406;SP;0,02
Areia;2501104;PB;0,21
Areia Branca;2401107;RN;11,14
Areia Branca;2800506;SE;0,54
Areia de Baraúnas;2501153;PB;sem ocorrência
Areial;2501203;PB;sem ocorrência
Areias;3503505;SP;66,9
Areiópolis;3503604;SP;sem ocorrência
Arenápolis;5101308;MT;sem ocorrência
Arenópolis;5202353;GO;sem ocorrência
Arês;2401206;RN;31,93
Argirita;3104403;MG;sem ocorrência
Aricanduva;3104452;MG;sem ocorrência
Arinos;3104502;MG;sem ocorrência
Aripuanã;5101407;MT;0,41
Ariquemes;1100023;RO;sem ocorrência
Ariranha;3503703;SP;sem ocorrência
Ariranha do Ivaí;4101853;PR;sem ocorrência
Armação dos Búzios;3300233;RJ;13,59
Armazém;4201505;SC;sem ocorrência
Arneiroz;2301505;CE;sem ocorrência
Aroazes;2200905;PI;sem ocorrência
Aroeiras;2501302;PB;sem ocorrência
Aroeiras do Itaim;2200954;PI;sem ocorrência
Arraial;2201002;PI;sem ocorrência
Arraial do Cabo;3300258;RJ;16,81
Arraias;1702406;TO;sem ocorrência
Arroio do Meio;4301008;RS;sem ocorrência
Arroio do Padre;4301073;RS;sem ocorrência
Arroio do Sal;4301057;RS;sem ocorrência
