Municípios;Código municipal;UF;homens para cada 100 mulheres
Barbosa;3505104;SP;94,82
Barbosa Ferraz;4102505;PR;98,73
Barcarena;1501303;PA;100,22
Barcelona;2401503;RN;97,72
Barcelos;1300409;AM;109,59
Bariri;3505203;SP;96,1
Barra;2902708;BA;103,55
Barra Bonita;3505302;SP;92,84
Barra Bonita;4202099;SC;108,76
Barra D'Alcântara;2201176;PI;91,61
Barra da Estiva;2902807;BA;101,81
Barra de Guabiraba;2601300;PE;100,57
Barra de Santa Rosa;2501609;PB;103,15
Barra de Santana;2501575;PB;103,51
Barra de Santo Antônio;2700508;AL;97,41
Barra de São Francisco;3200904;ES;97,63
Barra de São Miguel;2501708;PB;104,36
Barra de São Miguel;2700607;AL;95,71
Barra do Bugres;5101704;MT;103,28
Barra do Chapéu;3505351;SP;107,49
Barra do Choça;2902906;BA;97,03
Barra do Corda;2101608;MA;97,92
Barra do Garças;5101803;MT;96,4
Barra do Guarita;4301859;RS;99,68
Barra do Jacaré;4102703;PR;101,43
Barra do Mendes;2903003;BA;101,9
Barra do Ouro;1703073;TO;110,34
Barra do Piraí;3300308;RJ;88,31
Barra do Quaraí;4301875;RS;106,07
Barra do Ribeiro;4301909;RS;95,63
Barra do Rio Azul;4301925;RS;102,15
Barra do Rocha;2903102;BA;109,39
Barra do Turvo;3505401;SP;102,77
Barra dos Coqueiros;2800605;SE;91,83
Barra Funda;4301958;RS;95
Barra Longa;3105707;MG;97,35
Barra Mansa;3300407;RJ;90,2
Barra Velha;4202107;SC;97,34
Barracão;4102604;PR;99,04
Barracão;4301800;RS;103,24
Barras;2201200;PI;100,66
Barreira;2301950;CE;97,77
Barreiras;2903201;BA;95,72
Barreiras do Piauí;2201309;PI;106,98
Barreirinha;1300508;AM;109,22
Barreirinhas;2101707;MA;103,56
Barreiros;2601409;PE;91,49
Barretos;3505500;SP;92,24
Barrinha;3505609;SP;97,27
Barro;2302008;CE;96,46
Barro Alto;2903235;BA;102,06
Barro Alto;5203203;GO;102,64
Barro Duro;2201408;PI;94,1
Barro Preto;2903300;BA;100,03
Barrocas;2903276;BA;97,8
Barrolândia;1703107;TO;104,3
Barroquinha;2302057;CE;101,95
Barros Cassal;4302006;RS;103,28
